date,recency
2023/05/02,0
2023/05/01,1
2023/04/30,2
2023/04/29,3
2023/04/28,4
2023/04/27,5
2023/04/26,6
2023/04/25,7
2023/04/24,8
2023/04/23,9
2023/04/22,10
2023/04/21,11
2023/04/20,12
2023/04/19,13
2023/04/18,14
2023/04/17,15
2023/04/16,16
2023/04/15,17
2023/04/14,18
2023/04/13,19
2023/04/12,20
2023/04/11,21
2023/04/10,22
2023/04/09,23
2023/04/08,24
2023/04/07,25
2023/04/06,26
2023/04/05,27
2023/04/04,28
2023/04/03,29
2023/04/02,30
2023/04/01,31
2023/03/31,32
2023/03/30,33
2023/03/29,34
2023/03/28,35
2023/03/27,36
2023/03/26,37
2023/03/25,38
2023/03/24,39
2023/03/23,40
2023/03/22,41
2023/03/21,42
2023/03/20,43
2023/03/19,44
2023/03/18,45
2023/03/17,46
2023/03/16,47
2023/03/15,48
2023/03/14,49
2023/03/13,50
2023/03/12,51
2023/03/11,52
2023/03/10,53
2023/03/09,54
2023/03/08,55
2023/03/07,56
2023/03/06,57
2023/03/05,58
2023/03/04,59
2023/03/03,60
2023/03/02,61
2023/03/01,62
2023/02/28,63
2023/02/27,64
2023/02/26,65
2023/02/25,66
2023/02/24,67
2023/02/23,68
2023/02/22,69
2023/02/21,70
2023/02/20,71
2023/02/19,72
2023/02/18,73
2023/02/17,74
2023/02/16,75
2023/02/15,76
2023/02/14,77
2023/02/13,78
2023/02/12,79
2023/02/11,80
2023/02/10,81
2023/02/09,82
2023/02/08,83
2023/02/07,84
2023/02/06,85
2023/02/05,86
2023/02/04,87
2023/02/03,88
2023/02/02,89
2023/02/01,90
2023/01/31,91
2023/01/30,92
2023/01/29,93
2023/01/28,94
2023/01/27,95
2023/01/26,96
2023/01/25,97
2023/01/24,98
2023/01/23,99
2023/01/22,100
2023/01/21,101
2023/01/20,102
2023/01/19,103
2023/01/18,104
2023/01/17,105
2023/01/16,106
2023/01/15,107
2023/01/14,108
2023/01/13,109
2023/01/12,110
2023/01/11,111
2023/01/10,112
2023/01/09,113
2023/01/08,114
2023/01/07,115
2023/01/06,116
2023/01/05,117
2023/01/04,118
2023/01/03,119
2023/01/02,120
2023/01/01,121
2022/12/31,122
2022/12/30,123
2022/12/29,124
2022/12/28,125
2022/12/27,126
2022/12/26,127
2022/12/25,128
2022/12/24,129
2022/12/23,130
2022/12/22,131
2022/12/21,132
2022/12/20,133
2022/12/19,134
2022/12/18,135
2022/12/17,136
2022/12/16,137
2022/12/15,138
2022/12/14,139
2022/12/13,140
2022/12/12,141
2022/12/11,142
2022/12/10,143
2022/12/09,144
2022/12/08,145
2022/12/07,146
2022/12/06,147
2022/12/05,148
2022/12/04,149
2022/12/03,150
2022/12/02,151
2022/12/01,152
2022/11/30,153
2022/11/29,154
2022/11/28,155
2022/11/27,156
2022/11/26,157
2022/11/25,158
2022/11/24,159
2022/11/23,160
2022/11/22,161
2022/11/21,162
2022/11/20,163
2022/11/19,164
2022/11/18,165
2022/11/17,166
2022/11/16,167
2022/11/15,168
2022/11/14,169
2022/11/13,170
2022/11/12,171
2022/11/11,172
2022/11/10,173
2022/11/09,174
2022/11/08,175
2022/11/07,176
2022/11/06,177
2022/11/05,178
2022/11/04,179
2022/11/03,180
2022/11/02,181
2022/11/01,182
2022/10/31,183
2022/10/30,184
2022/10/29,185
2022/10/28,186
2022/10/27,187
2022/10/26,188
2022/10/25,189
2022/10/24,190
2022/10/23,191
2022/10/22,192
2022/10/21,193
2022/10/20,194
2022/10/19,195
2022/10/18,196
2022/10/17,197
2022/10/16,198
2022/10/15,199
2022/10/14,200
2022/10/13,201
2022/10/12,202
2022/10/11,203
2022/10/10,204
2022/10/09,205
2022/10/08,206
2022/10/07,207
2022/10/06,208
2022/10/05,209
2022/10/04,210
2022/10/03,211
2022/10/02,212
2022/10/01,213
2022/09/30,214
2022/09/29,215
2022/09/28,216
2022/09/27,217
2022/09/26,218
2022/09/25,219
2022/09/24,220
2022/09/23,221
2022/09/22,222
2022/09/21,223
2022/09/20,224
2022/09/19,225
2022/09/18,226
2022/09/17,227
2022/09/16,228
2022/09/15,229
2022/09/14,230
2022/09/13,231
2022/09/12,232
2022/09/11,233
2022/09/10,234
2022/09/09,235
2022/09/08,236
2022/09/07,237
2022/09/06,238
2022/09/05,239
2022/09/04,240
2022/09/03,241
2022/09/02,242
2022/09/01,243
2022/08/31,244
2022/08/30,245
2022/08/29,246
2022/08/28,247
2022/08/27,248
2022/08/26,249
2022/08/25,250
2022/08/24,251
2022/08/23,252
2022/08/22,253
2022/08/21,254
2022/08/20,255
2022/08/19,256
2022/08/18,257
2022/08/17,258
2022/08/16,259
2022/08/15,260
2022/08/14,261
2022/08/13,262
2022/08/12,263
2022/08/11,264
2022/08/10,265
2022/08/09,266
2022/08/08,267
2022/08/07,268
2022/08/06,269
2022/08/05,270
2022/08/04,271
2022/08/03,272
2022/08/02,273
2022/08/01,274
2022/07/31,275
2022/07/30,276
2022/07/29,277
2022/07/28,278
2022/07/27,279
2022/07/26,280
2022/07/25,281
2022/07/24,282
2022/07/23,283
2022/07/22,284
2022/07/21,285
2022/07/20,286
2022/07/19,287
2022/07/18,288
2022/07/17,289
2022/07/16,290
2022/07/15,291
2022/07/14,292
2022/07/13,293
2022/07/12,294
2022/07/11,295
2022/07/10,296
2022/07/09,297
2022/07/08,298
2022/07/07,299
2022/07/06,300
2022/07/05,301
2022/07/04,302
2022/07/03,303
2022/07/02,304
2022/07/01,305
2022/06/30,306
2022/06/29,307
2022/06/28,308
2022/06/27,309
2022/06/26,310
2022/06/25,311
2022/06/24,312
2022/06/23,313
2022/06/22,314
2022/06/21,315
2022/06/20,316
2022/06/19,317
2022/06/18,318
2022/06/17,319
2022/06/16,320
2022/06/15,321
2022/06/14,322
2022/06/13,323
2022/06/12,324
2022/06/11,325
2022/06/10,326
2022/06/09,327
2022/06/08,328
2022/06/07,329
2022/06/06,330
2022/06/05,331
2022/06/04,332
2022/06/03,333
2022/06/02,334
2022/06/01,335
2022/05/31,336
2022/05/30,337
2022/05/29,338
2022/05/28,339
2022/05/27,340
2022/05/26,341
2022/05/25,342
2022/05/24,343
2022/05/23,344
2022/05/22,345
2022/05/21,346
2022/05/20,347
2022/05/19,348
2022/05/18,349
2022/05/17,350
2022/05/16,351
2022/05/15,352
2022/05/14,353
2022/05/13,354
2022/05/12,355
2022/05/11,356
2022/05/10,357
2022/05/09,358
2022/05/08,359
2022/05/07,360
2022/05/06,361
2022/05/05,362
2022/05/04,363
2022/05/03,364
2022/05/02,365
